年,放送期間,タイトル
1975,4月7日 - 9月29日,ガンバの冒険
1979,4月7日 - 1980年1月26日,機動戦士ガンダム
1982,10月3日 - 1983年6月26日,超時空要塞マクロス
1985,3月2日 - 1986年2月22日,機動戦士Ζガンダム
1989,10月11日 - 1990年9月26日,機動警察パトレイバー
1995,10月4日 - 1996年3月27日,新世紀エヴァンゲリオン
1996,10月1日 - 1997年3月25日,機動戦艦ナデシコ
1997,2月1日 - 1998年1月31日,勇者王ガオガイガー
,4月1日 - 2002年11月14日,ポケットモンスター
,4月2日 - 2000年3月29日,超特急ヒカリアン
,10月1日-1998年3月25日,ビーストウォーズ 超生命体トランスフォーマー
1998,10月1日 -,おじゃる丸
1999,2月7日 - 2000年1月30日,おジャ魔女どれみ
,3月7日 - 2000年3月26日,デジモンアドベンチャー
,4月9日 - 2000年4月14日,∀ガンダム
,9月4日 - 2000年12月23日,ゾイド -ZOIDS-
,10月2日 - 2001年1月6日,サイボーグクロちゃん
2000,2月6日 - 2001年1月28日,おジャ魔女どれみ♯
,4月2日 - 2001年3月25日,デジモンアドベンチャー02
,4月3日 - 2001年2月1日,へろへろくん
,4月18日 - 2004年9月29日,遊☆戯☆王デュエルモンスターズ
,7月7日 - 2004年3月26日,とっとこハム太郎
,7月7日 - 2001年3月30日,メダロット魂
,10月7日 - 2001年9月29日,真・女神転生デビチル
,10月16日 - 2004年9月13日,犬夜叉
2001,1月6日 - 6月30日,ZOIDS新世紀?
,1月8日 - 12月24日,爆転シュート ベイブレード
,2月4日 - 2002年1月27日,も?っと! おジャ魔女どれみ
,4月1日 - 2002年3月31日,デジモンテイマーズ
,7月4日 - 12月26日,スクライド
,10月6日 - 2003年9月27日,星のカービィ
,10月7日 - 2003年1月26日,激闘!クラッシュギアTURBO
,10月10日 - 2005年3月30日,テニスの王子様
,10月10日 - 2003年3月26日,ヒカルの碁
2002,1月7日 - 12月30日,爆転シュート ベイブレード2002
,1月15日 - 6月18日,フルメタル・パニック!
,1月21日 - 9月10日,ラーゼフォン
,3月4日 - 2003年3月31日,ロックマンエグゼ
,4月6日 - 2003年3月29日,東京ミュウミュウ
,4月7日 - 2003年3月30日,デジモンフロンティア
,4月7日 - 2003年3月30日,電光超特急ヒカリアン
,4月19日 - 2009年9月19日,あたしンち
,7月3日 - 10月2日,最終兵器彼女
,10月3日 - 2007年2月8日,NARUTO -ナルト-
,10月5日 - 2003年9月27日,機動戦士ガンダムSEED
,10月5日 - 2003年9月27日,真・女神転生Dチルドレン ライト&ダーク
,10月21日 - 2003年4月4日,デュエル・マスターズ
,11月21日 - 2006年9月14日,ポケットモンスター アドバンスジェネレーション
2003,1月6日 - 12月29日,爆転シュート ベイブレードGレボリューション
,1月8日 - 2004年1月3日,出撃!マシンロボレスキュー
,1月10日 - 12月26日,超ロボット生命体トランスフォーマー マイクロン伝説
,2月2日 - 2004年1月25日,クラッシュギアNitro
,4月5日 - 2004年3月27日,無限戦記ポトリス
,4月6日 - 2006年3月26日,金色のガッシュベル!!
,4月7日 - 2005年3月27日,コロッケ!
,8月25日 - 11月17日,フルメタル・パニック? ふもっふ
,10月 - 2004年3月,絶体絶命でんぢゃらすじーさん
,10月2日 - 2004年3月25日,最遊記RELOAD
,10月4日 - 2004年10月2日,鋼の錬金術師
,10月4日 - 2004年4月17日,プラネテス
,10月4日 - 2004年9月25日,ロックマンエグゼAXESS
,10月8日 - 2004年2月18日,GUNSLINGER GIRL
,11月8日 - 2005年10月29日,ボボボーボ・ボーボボ
2004,1月5日 - 12月27日,B-伝説! バトルビーダマン
,1月7日 - 12月29日,SDガンダムフォース
,1月9日 - 12月24日,トランスフォーマー スーパーリンク
,2月1日 - 2005年2月6日,かいけつゾロリ
,4月1日 - 9月23日,最遊記RELOAD GUNLOCK
,4月3日 - 2011年4月2日,ケロロ軍曹
,4月4日 - 6月27日,火の鳥
,4月4日 - 2005年3月27日,レジェンズ 甦る竜王伝説
,4月5日 - 2005年3月28日,Get Ride! アムドライバー
,4月19日 - 2006年3月30日,デュエル・マスターズ チャージ
,7月4日 - 12月26日,蒼穹のファフナー Dead Aggressor
,9月30日 - 2005年9月29日,陰陽大戦記
,9月30日 - 2005年9月29日,冒険王ビィト
,10月1日 - 12月24日,魔法少女リリカルなのは
,10月2日 - 2005年9月24日,ビューティフル ジョー
,10月2日 - 2005年9月24日,ロックマンエグゼStream
,10月3日 - 2005年4月3日,ゾイドフューザーズ
,10月6日 - 2008年3月26日,遊☆戯☆王デュエルモンスターズGX
,10月9日 - 2005年10月1日,機動戦士ガンダムSEED DESTINY
,10月11日 - 2006年3月6日,ブラック・ジャック
,10月12日 - 2006年3月14日,焼きたて!!ジャぱん
,11月13日 - 2005年5月21日,MAJOR
2005,1月2日 - 2008年11月2日,こちら葛飾区亀有公園前派出所
,1月6日 - 3月31日,AIR
,1月8日 - 12月31日,トランスフォーマー ギャラクシーフォース
,1月10日 - 12月26日,B-伝説! バトルビーダマン 炎魂
,2月7日 - 4月25日,増田こうすけ劇場 ギャグマンガ日和
,4月4日 - 2006年3月27日,うえきの法則
,4月6日 - 2006年3月29日,甲虫王者ムシキング 森の民の伝説
,4月10日 - 2006年3月26日,ゾイドジェネシス
,4月15日 -,ドラえもん（第2作2期）
,4月17日 - 2006年4月2日,交響詩篇エウレカセブン
,7月6日 - 2009年9月24日,FNS地球特捜隊ダイバスター
,7月13日 - 10月19日,フルメタル・パニック! The Second Raid
,10月1日 - 12月24日,魔法少女リリカルなのはA's
,10月1日 - 2006年4月1日,ロックマンエグゼBEAST
,10月6日 - 2006年3月30日,冒険王ビィト エクセリオン
,11月12日 - 2006年9月24日,ガイキング LEGEND OF DAIKU-MARYU
2006,1月9日 - 12月25日,爆球Hit! クラッシュビーダマン
,4月1日 - 9月30日,サルゲッチュ ?オンエアー?
,4月2日 - 7月2日,涼宮ハルヒの憂鬱
,4月2日 - 2007年3月25日,デジモンセイバーズ
,4月4日 - 2010年3月25日,銀魂
,4月4日 - 9月26日,ひぐらしのなく頃に
,4月8日 - 9月30日,ロックマンエグゼBEAST+
,4月10日 - 2007年3月23日,新星輝デュエル・マスターズ フラッシュ
,7月1日 - 2007年6月30日,出ましたっ!パワパフガールズZ
,9月28日 - 2010年9月9日,ポケットモンスター ダイヤモンド&パール
,10月3日 - 2007年6月26日,DEATH NOTE
,10月5日 - 2007年3月29日,コードギアス 反逆のルルーシュ
,10月7日 - 2007年9月29日,ぷるるんっ!しずくちゃん
,10月7日 - 2007年10月27日,流星のロックマン
,10月16日 - 2008年2月11日,結界師
2007,1月6日 - 2008年3月29日,デルトラクエスト
,1月11日 - 6月28日,のだめカンタービレ
,1月11日 - 3月29日,ひだまりスケッチ
,4月1日 - 2009年3月29日,ゲゲゲの鬼太郎
,4月1日 - 9月30日,天元突破グレンラガン
,4月1日 - 9月23日,魔法少女リリカルなのはStrikerS
,4月3日 - 6月26日,この青空に約束を― ?ようこそつぐみ寮へ?
,4月4日 - 9月26日,機神大戦ギガンティック・フォーミュラ
,4月7日 - 9月22日,地球へ…
,4月8日 - 9月30日,ぼくらの
,4月8日 - 9月16日,らき☆すた
,4月12日 - 9月27日,おおきく振りかぶって
,5月12日 - 12月1日,電脳コイル
,6月11日 - 6月15日,トレジャーガウスト
,7月3日 - 9月11日,School Days
,7月7日 - 9月22日,さよなら絶望先生
,10月4日 - 2008年3月27日,CLANNAD
,10月6日 - 2008年3月29日,機動戦士ガンダム00（第1期）
,10月6日 - 2008年9月27日,しゅごキャラ!
,10月7日 - 12月30日,みなみけ
,10月11日 - 12月20日,もやしもん
,11月3日 - 2008年3月29日,流星のロックマン トライブ
2008,1月6日 - 3月30日,みなみけ おかわり
,1月10日 - 3月20日,墓場鬼太郎
,1月7日 - 3月31日,GUNSLINGER GIRL -IL TEATRINO-
,4月3日 - 9月25日,マクロスF
,4月6日 - 9月28日,コードギアス 反逆のルルーシュ R2
,4月7日 - 2009年3月30日,ソウルイーター
,4月11日 - 6月27日,図書館戦争
,7月3日 - 9月22日,ストライクウィッチーズ
,7月3日 - 9月25日,ひだまりスケッチ×365
,7月7日 - 9月29日,夏目友人帳
,10月1日 - 2009年3月25日,とらドラ!
,10月2日 - 2009年3月26日,CLANNAD ?AFTER STORY?
,10月3日 - 2009年3月20日,鉄のラインバレル
,10月4日 - 12月27日,かんなぎ
,10月5日 - 2009年3月29日,機動戦士ガンダム00（第2期）
,10月9日 - 2009年3月19日,とある魔術の禁書目録
,10月9日 - 12月18日,のだめカンタービレ 巴里編
2009,1月3日 - 3月28日,アキカン!
,1月4日 - 3月29日,みなみけ おかえり
,1月5日 - 6月29日,宇宙をかける少女
,1月8日 - 6月18日,黒神 The Animation
,4月1日 - 6月17日,戦国BASARA
,4月2日 - 6月25日,けいおん!
,4月2日 - 10月8日,涼宮ハルヒの憂鬱（再放送+新作）
,4月5日 - 2010年7月4日,鋼の錬金術師 FULLMETAL ALCHEMIST
,4月9日 - 6月18日,東のエデン
,7月2日 - 9月24日,大正野球娘。
,7月9日 - 9月18日,東京マグニチュード8.0
,7月11日 - 9月26日,よくわかる現代魔法
,10月1日 - 12月17日,けんぷファー
,10月2日 - 12月18日,生徒会の一存
,10月4日 - 12月27日,そらのおとしもの
,10月5日 - 2010年3月22日,とある科学の超電磁砲
2010,1月4日 - 3月22日,ソ・ラ・ノ・ヲ・ト
,1月6日 - 3月31日,バカとテストと召喚獣
,1月7日 - 6月24日,デュラララ!!
,1月7日 - 3月25日,ひだまりスケッチ×☆☆☆
,1月14日 - 3月25日,のだめカンタービレ フィナーレ
,4月2日 - 6月25日,Angel Beats!
,4月4日 - 6月25日,荒川アンダー ザ ブリッジ
,4月5日 - 6月28日,WORKING!!
,4月6日 - 9月28日,けいおん!!
,4月10日 - 7月3日,迷い猫オーバーラン!
,4月22日 - 7月1日,四畳半神話大系
,7月1日 - 9月16日,オオカミさんと七人の仲間たち
,7月3日 - 9月25日,生徒会役員共
,7月5日 - 9月27日,世紀末オカルト学院
,7月5日 - 9月27日,みつどもえ
,7月7日 - 9月22日,ストライクウィッチーズ2
,7月11日 - 9月26日,戦国BASARA弐
,10月1日 - 12月17日,IRON MAN -アイアンマン-
,10月1日 - 12月17日,そらのおとしものf
,10月2日 - 12月18日,えむえむっ!
,10月3日 - 12月19日,俺の妹がこんなに可愛いわけがない
,10月3日 - 2011年4月3日,STAR DRIVER 輝きのタクト
,10月4日 - 12月20日,侵略!イカ娘
,10月4日 - 12月20日,ヨスガノソラ
,10月6日 - 12月22日,神のみぞ知るセカイ
,10月7日 - 12月23日,それでも町は廻っている
,10月7日 - 12月23日,探偵オペラ ミルキィホームズ
